datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name
3/17/2014,8.68,3.34,7,37,6,1,0,1,2014,3,276,Monday
3/18/2014,8,4,5,20.1,9,0,0,4,2014,3,276,Tuesday
3/19/2014,4,3.02,4,21.8,2,0,0,2,2014,3,276,Wednesday
3/20/2014,3,5.34,1.6,38.2,5,0,7,4.2,2014,3,276,Thursday
3/21/2014,6,3.68,4.5,40,4,0,2,1,2014,3,276,Friday
3/22/2014,3.34,2.34,0,26.3,10,2,18,8.4,2014,3,276,Saturday
3/23/2014,6.34,2,4,19.4,0,1,0,3,2014,3,276,Sunday
3/24/2014,5.68,1,4,23.6,7,0,6,3.5,2014,3,276,Monday
3/25/2014,4,1.34,9,38.6,7,0,1,1,2014,3,276,Tuesday
3/26/2014,2.34,3.99,9,6.7,7,3,3,0,2014,3,276,Wednesday
3/27/2014,4,0.33,2,20.7,6,1,1,5,2014,3,276,Thursday
3/28/2014,2.67,2,8,11,3,0,9,5,2014,3,276,Friday
3/29/2014,4,6.33,4.2,24,8,2,9,3,2014,3,276,Saturday
3/30/2014,3,2.34,0,12,4,0,0,7,2014,3,276,Sunday
3/31/2014,5.34,2.34,4,15.4,6,1,4,6,2014,3,276,Monday
4/1/2014,4.34,1.34,6.5,27.5,5,3,3,1,2014,4,276,Tuesday
4/2/2014,2,4.68,8.9,23,1,0,7,3,2014,4,276,Wednesday
4/3/2014,1,1.34,3,19.2,4,0,0,4,2014,4,276,Thursday
4/4/2014,3,3.67,3,24,9,3,8,2,2014,4,276,Friday
4/5/2014,2,7.68,10,25.6,5,0,5,3,2014,4,276,Saturday
4/6/2014,2,1,1,19,1,0,0,1,2014,4,276,Sunday
4/7/2014,6.34,6,6.5,31.5,4,0,0,1,2014,4,276,Monday
4/8/2014,4.34,2.34,1.7,19,6,1,0,4.7,2014,4,276,Tuesday
4/9/2014,6,1.02,1,18,2,1,2,2.6,2014,4,276,Wednesday
4/10/2014,3.33,1.68,1,18,10,0,4,4,2014,4,276,Thursday
4/11/2014,6,4,3,25,2,2,0,2,2014,4,276,Friday
4/12/2014,7.02,3.34,6,23.5,19,0,11,4,2014,4,276,Saturday
4/13/2014,3,2,2,6,3,0,5,2,2014,4,276,Sunday
4/14/2014,1.34,4.68,5.35,28.28,10,0,5,5,2014,4,276,Monday
4/15/2014,4.34,3,6.4,18.7,12,0,10,1,2014,4,276,Tuesday
4/16/2014,2,1.01,4.2,25.62,1,0,6,4,2014,4,276,Wednesday
4/17/2014,5.34,0.34,7.2,16,19,0,0,0,2014,4,276,Thursday
4/18/2014,7,7,8,23.3,10,1,0,5,2014,4,276,Friday
4/19/2014,7.34,3.35,4,22.3,7,0,3,5,2014,4,276,Saturday
4/20/2014,0,0,0,0,0,0,0,0,2014,4,276,Sunday
4/21/2014,1.34,1.68,2.1,13.5,8,0,0,1,2014,4,276,Monday
4/22/2014,5.34,7.165,3.3,32,8,1,0,1,2014,4,276,Tuesday
4/23/2014,6.34,2.34,3,24.9,8,1,2,1,2014,4,276,Wednesday
4/24/2014,2,2,1.1,26,6,0,6,2,2014,4,276,Thursday
4/25/2014,3,2.02,5,24.9,10,1,1,3,2014,4,276,Friday
4/26/2014,4.34,2.67,5.5,35,12,1,6,4,2014,4,276,Saturday
4/27/2014,4,2.34,2,26.2,2,0,1,1,2014,4,276,Sunday
4/28/2014,1.34,3.09,3,29.1,8,2,0,2,2014,4,276,Monday
4/29/2014,3.33,4.02,4.4,30.3,6,1,5,0.4,2014,4,276,Tuesday
4/30/2014,4.34,2.68,7,43.1,11,0,7,4,2014,4,276,Wednesday
5/1/2014,0,0,0,0,0,0,0,0,2014,5,276,Thursday
5/2/2014,7.34,7.34,6.3,39.5,16,1,12,2,2014,5,276,Friday
5/3/2014,4,5.34,2,14.6,5,2,0,2.5,2014,5,276,Saturday
5/4/2014,1.67,4.69,1.2,20,3,0,0,3,2014,5,276,Sunday
5/5/2014,3,5.785,5,20,7,0,3,4,2014,5,276,Monday
5/6/2014,7.34,4.36,4,22,10,2,6,5,2014,5,276,Tuesday
5/7/2014,3.33,6.32,3,16.8,8,1,3,11,2014,5,276,Wednesday
5/8/2014,2,2.34,3.4,20.4,10,3,0,5,2014,5,276,Thursday
5/9/2014,2,5,4.2,16,12,2,1,2,2014,5,276,Friday
5/10/2014,5,6,9,39.4,15,3,1,5,2014,5,276,Saturday
5/11/2014,2,2.68,1,17,7,0,1,4,2014,5,276,Sunday
5/12/2014,4.34,3.34,9,12,8,0,5,2,2014,5,276,Monday
5/13/2014,3.68,0.34,6.2,32,7,0,25,7.5,2014,5,276,Tuesday
5/14/2014,1,4.02,6,24.3,4,0,0,3,2014,5,276,Wednesday
5/15/2014,2.34,2.02,3,19.3,7,0,1,2,2014,5,276,Thursday
5/16/2014,5.34,7,3,22,10,1,11,1,2014,5,276,Friday
5/17/2014,2.34,7.68,3,35,14,1,0,2,2014,5,276,Saturday
5/18/2014,3.34,2,5,9.4,6,0,0,1,2014,5,276,Sunday
5/19/2014,8.34,3.84,6.1,12.8,5,0,3,9,2014,5,276,Monday
5/20/2014,1,2.375,7,27,10,1,0,3.6,2014,5,276,Tuesday
5/21/2014,2,4.68,9.5,15.4,6,1,0,3,2014,5,276,Wednesday
5/22/2014,3.68,1.33,1.2,8,8,0,2,4,2014,5,276,Thursday
5/23/2014,5,2.34,3.9,17.5,8,2,10,7,2014,5,276,Friday
5/24/2014,3,4.713,5,28,11,1,0,9,2014,5,276,Saturday
5/25/2014,2,3,1,7,8,0,5,1,2014,5,276,Sunday
5/26/2014,2.68,3.34,7.4,18,7,1,0,5,2014,5,276,Monday
5/27/2014,0,2.34,5,28.6,12,1,1,6,2014,5,276,Tuesday
5/28/2014,1.34,5.02,1.4,10.28,9,0,2,5.1,2014,5,276,Wednesday
5/29/2014,4,5.34,6.3,27,13,0,0,2,2014,5,276,Thursday
5/30/2014,3.02,2.02,2,21.5,14,0,0,5,2014,5,276,Friday
5/31/2014,5.67,3.34,2,28,10,0,15,2,2014,5,276,Saturday
6/1/2014,1,0.68,1,10,4,1,1,3,2014,6,276,Sunday
6/2/2014,4,4.34,10,23.3,16,3,0,3,2014,6,276,Monday
6/3/2014,3,2,2.4,24,7,2,5,3,2014,6,276,Tuesday
6/4/2014,1,4.68,3.5,24,6,0,1,2.5,2014,6,276,Wednesday
6/5/2014,0.34,4.68,4.5,22.5,4,0,0,5,2014,6,276,Thursday
6/6/2014,5,1.68,3,16.625,15,2,1,5,2014,6,276,Friday
6/7/2014,9,3.68,7.5,33,8,1,6,7,2014,6,276,Saturday
6/8/2014,1,2,3,11,8,0,6,2,2014,6,276,Sunday
6/9/2014,6.33,1.34,5,18,17,4,0,11,2014,6,276,Monday
6/10/2014,8.68,2.68,4.3,23,16,2,2,6.5,2014,6,276,Tuesday
6/11/2014,4.34,0.68,2.3,12.5,16,2,12,9,2014,6,276,Wednesday
6/12/2014,4.34,3,1,15.8,12,0,2,3,2014,6,276,Thursday
6/13/2014,1,2.68,5,10,11,0,3,1,2014,6,276,Friday
6/14/2014,4,5.02,6,8,10,0,1,3,2014,6,276,Saturday
6/15/2014,0.34,2,0,8,5,0,0,3.3,2014,6,276,Sunday
6/16/2014,4.34,4.34,7.4,12.2,11,0,5,5,2014,6,276,Monday
6/17/2014,5,2.34,4,14,12,2,0,3,2014,6,276,Tuesday
6/18/2014,2,2,4.7,18,6,0,1,3,2014,6,276,Wednesday
6/19/2014,3,3.33,1,14,8,0,0,1,2014,6,276,Thursday
6/20/2014,7.34,2.02,3,14.5,9,0,3,6,2014,6,276,Friday
6/21/2014,6,5.68,2,16,12,3,0,3,2014,6,276,Saturday
6/22/2014,4,1.02,4,18,8,0,2,3,2014,6,276,Sunday
6/23/2014,2.34,7.68,3,25.2,12,0,2,3,2014,6,276,Monday
6/24/2014,3,5.14,4,16.2,23,0,2,4,2014,6,276,Tuesday
6/25/2014,8,5.34,7,33.8,19,0,0,1,2014,6,276,Wednesday
6/26/2014,3,2,11.3,19.3,14,0,0,1,2014,6,276,Thursday
6/27/2014,4.34,1,6,32.3,13,0,1,3,2014,6,276,Friday
6/28/2014,0.34,5.34,5,20,14,1,1,5,2014,6,276,Saturday
6/29/2014,0,1,1,10,1,0,0,1,2014,6,276,Sunday
6/30/2014,6,5.34,1,25,6,0,0,0,2014,6,276,Monday
7/1/2014,4.34,2.34,2,19,10,0,0,2,2014,7,276,Tuesday
7/2/2014,3,0.34,4,21.6,7,0,6,3,2014,7,276,Wednesday
7/3/2014,2.33,5.68,7,12.5,7,2,0,2,2014,7,276,Thursday
7/4/2014,4.34,4.7,7,10.5,14,0,2,3,2014,7,276,Friday
7/5/2014,3.34,4.34,6,37,11,1,0,0,2014,7,276,Saturday
7/6/2014,4,2,3,10.2,9,0,0,0,2014,7,276,Sunday
7/7/2014,2,3.34,4,13,11,0,0,4,2014,7,276,Monday
7/8/2014,6.34,2.34,3,14,3,0,5,1,2014,7,276,Tuesday
7/9/2014,3,6.34,5,13,6,4,0,2.2,2014,7,276,Wednesday
7/10/2014,2.33,4.66,8,21.2,32,0,5,4,2014,7,276,Thursday
7/11/2014,2,1.68,3.2,16.5,17,0,5,1,2014,7,276,Friday
7/12/2014,8.34,2.68,10.5,28.1,12,3,12,4,2014,7,276,Saturday
7/13/2014,2,1.34,1,17,2,0,0,0,2014,7,276,Sunday
7/14/2014,5,3.04,3,11.8,19,1,2,2,2014,7,276,Monday
7/15/2014,3.34,1.68,1,15.6,18,0,0,1.3,2014,7,276,Tuesday
7/16/2014,4,3.34,3,13,12,1,4,0,2014,7,276,Wednesday
7/17/2014,2,3,5,25,14,1,0,1,2014,7,276,Thursday
7/18/2014,9,2.34,1.5,14.2,6,3,0,4,2014,7,276,Friday
7/19/2014,7.33,7.02,6,8.4,10,0,6,6,2014,7,276,Saturday
7/20/2014,3,0.34,1,8,5,0,0,0.1,2014,7,276,Sunday
7/21/2014,3,4.68,8,20,13,1,0,2,2014,7,276,Monday
7/22/2014,5,5.68,3,9,7,0,1,2,2014,7,276,Tuesday
7/23/2014,2.67,6.37,2,8,19,0,0,3,2014,7,276,Wednesday
7/24/2014,5.34,2,4.4,23,5,0,0,2,2014,7,276,Thursday
7/25/2014,5,2.02,7.5,10,15,1,1,2,2014,7,276,Friday
7/26/2014,4,6.68,6.2,36.2,13,0,0,4,2014,7,276,Saturday
7/27/2014,3,1.34,2,10,5,0,6,1,2014,7,276,Sunday
7/28/2014,2,1.34,2,9.1,9,0,0,2,2014,7,276,Monday
7/29/2014,2.34,0.68,1,13,15,3,0,5,2014,7,276,Tuesday
7/30/2014,0.68,1.34,5,13.5,14,0,6,4.5,2014,7,276,Wednesday
7/31/2014,3,0.34,4,10.5,8,0,0,1,2014,7,276,Thursday
8/1/2014,2,1,2.2,14,17,1,0,1,2014,8,276,Friday
8/2/2014,5,2.01,6,29,12,0,5,3,2014,8,276,Saturday
8/3/2014,5,1,3,6,5,5,0,0,2014,8,276,Sunday
8/4/2014,4,5.02,6,21.5,14,0,0,4,2014,8,276,Monday
8/5/2014,2,1.34,3,17.1,9,0,0,0,2014,8,276,Tuesday
8/6/2014,6,5,1.4,17,7,1,1,1,2014,8,276,Wednesday
8/7/2014,3.34,2.68,3,33,13,1,0,2,2014,8,276,Thursday
8/8/2014,5.02,4.02,5,13,12,3,2,2,2014,8,276,Friday
8/9/2014,4,1.34,6,19,24,3,0,5.9,2014,8,276,Saturday
8/10/2014,4,0.34,4,3,4,0,0,2,2014,8,276,Sunday
8/11/2014,8,5.36,9.2,20,18,0,0,2,2014,8,276,Monday
8/12/2014,0,1.36,4.5,10,8,1,0,4.6,2014,8,276,Tuesday
8/13/2014,1.34,3.34,1,20.3,11,0,0,7,2014,8,276,Wednesday
8/14/2014,4,2.34,6,14.4,13,0,0,6,2014,8,276,Thursday
8/15/2014,4.34,4.02,7,13.2,15,2,3,2,2014,8,276,Friday
8/16/2014,8,2.43,5,19,27,2,0,1,2014,8,276,Saturday
8/17/2014,0.34,0.68,2,6.5,7,0,0,1,2014,8,276,Sunday
8/18/2014,4.34,6,3.1,16.5,21,3,10,2,2014,8,276,Monday
8/19/2014,11.34,6.35,5,16.1,13,1,3,1.1,2014,8,276,Tuesday
8/20/2014,5.34,5.34,1.4,9,10,2,0,1,2014,8,276,Wednesday
8/21/2014,3,1,2,18,16,1,0,2.2,2014,8,276,Thursday
8/22/2014,6.34,1.34,5,19,15,0,0,1,2014,8,276,Friday
8/23/2014,3,3.02,1,25.6,5,0,0,4,2014,8,276,Saturday
8/24/2014,3,2.175,3,7,12,0,1,0,2014,8,276,Sunday
8/25/2014,4.01,3.175,3,21.2,21,0,0,0,2014,8,276,Monday
8/26/2014,2.34,5.34,3,31,14,1,1,3,2014,8,276,Tuesday
8/27/2014,3.34,8.02,4,21,14,0,0,3,2014,8,276,Wednesday
8/28/2014,2.34,5.36,6,32.67,19,0,4,0,2014,8,276,Thursday
8/29/2014,6.34,3.68,5,26.28,18,1,0,3,2014,8,276,Friday
8/30/2014,3.68,3.02,7,13,13,1,0,4,2014,8,276,Saturday
8/31/2014,0,2.68,1,15,13,0,7,2,2014,8,276,Sunday
9/1/2014,3.34,1.715,1,15.5,15,0,0,5.5,2014,9,276,Monday
9/2/2014,2.34,4.68,5.2,20.14,7,0,2,3,2014,9,276,Tuesday
9/3/2014,7,6.34,4,22.18,12,0,2,3,2014,9,276,Wednesday
9/4/2014,5.68,5.34,3,17.6,21,1,0,1,2014,9,276,Thursday
9/5/2014,4,0.779,3,15.6,15,2,0,2,2014,9,276,Friday
9/6/2014,5.34,5,2.4,15.7,30,2,5,3.1,2014,9,276,Saturday
9/7/2014,2,5.515,5,7,9,0,0,1,2014,9,276,Sunday
9/8/2014,1,5.36,3.5,20.8,15,0,1,4,2014,9,276,Monday
9/9/2014,6.34,2.34,4,29.2,17,0,2,1.2,2014,9,276,Tuesday
9/10/2014,4.34,3.34,3.5,37.8,12,0,0,1,2014,9,276,Wednesday
9/11/2014,0,1.34,4,32.2,15,0,10,0,2014,9,276,Thursday
9/12/2014,2.68,2.67,1,20,19,0,8,1,2014,9,276,Friday
9/13/2014,3,5.36,4.4,56.85,20,0,1,3,2014,9,276,Saturday
9/14/2014,1.34,2,2,19.5,6,0,6,0,2014,9,276,Sunday
9/15/2014,1.34,3,5.4,28.2,9,0,1,0,2014,9,276,Monday
9/16/2014,4,2.68,0,59.3,13,0,0,0,2014,9,276,Tuesday
9/17/2014,2.34,6,4,39.6,11,2,19,4,2014,9,276,Wednesday
9/18/2014,3,2.02,1,44,7,0,0,1,2014,9,276,Thursday
9/19/2014,2,4.34,7.8,23,8,0,22,0,2014,9,276,Friday
9/20/2014,4.34,1.855,4.5,20.6,14,1,2,0,2014,9,276,Saturday
9/21/2014,1,3.02,6,12.4,7,0,0,3,2014,9,276,Sunday
9/22/2014,3.34,4,5.5,34.2,10,1,0,2,2014,9,276,Monday
9/23/2014,3,3.34,5.5,26,10,0,1,2,2014,9,276,Tuesday
9/24/2014,6,3.34,1.4,24.7,14,0,0,0,2014,9,276,Wednesday
9/25/2014,4.68,6.34,8.2,49.15,15,1,1,5,2014,9,276,Thursday
9/26/2014,4,3.68,3.5,38,22,2,0,1,2014,9,276,Friday
9/27/2014,4,2,6,46.3,18,0,0,4,2014,9,276,Saturday
9/28/2014,0.34,2.68,1,21.2,6,0,0,2,2014,9,276,Sunday
9/29/2014,7,3.68,2.3,29.8,12,0,10,4,2014,9,276,Monday
9/30/2014,10,5.34,4,61.3,10,2,22,2,2014,9,276,Tuesday
10/1/2014,2.34,0,2.4,44,15,0,11,2,2014,10,276,Wednesday
10/2/2014,2,4.99,5,23.9,11,0,2,1,2014,10,276,Thursday
10/3/2014,4.33,1.34,5.9,44.14,12,0,11,2,2014,10,276,Friday
10/4/2014,4.68,7.766,8,49.9,12,1,25,0,2014,10,276,Saturday
10/5/2014,2,3.34,3,19,1,0,0,3,2014,10,276,Sunday
10/6/2014,5.34,1.365,2.4,69.875,13,1,0,1,2014,10,276,Monday
10/7/2014,3,4.34,2.2,41.7,17,1,5,0,2014,10,276,Tuesday
10/8/2014,3.68,6,7,50,17,0,0,2,2014,10,276,Wednesday
10/9/2014,1,4.69,6,48.2,10,2,5,0,2014,10,276,Thursday
10/10/2014,4.34,2.68,9,28.8,24,3,6,0.5,2014,10,276,Friday
10/11/2014,3.34,3.68,5,35.9,15,0,0,5,2014,10,276,Saturday
10/12/2014,3,0.33,1.5,22.5,7,0,5,2,2014,10,276,Sunday
10/13/2014,1.68,4,6.2,31.9,11,0,1,2,2014,10,276,Monday
10/14/2014,3,5.41,4.8,31.8,7,0,11,0,2014,10,276,Tuesday
10/15/2014,1.33,6.35,3.5,23.7,14,1,2,4,2014,10,276,Wednesday
10/16/2014,6.775,3.5103125,2.9375,58.921875,9.0625,0.625,5,2.1875,2014,10,276,Thursday
10/17/2014,3,2.34,3.4,42,22,3,0,2,2014,10,276,Friday
10/18/2014,4,6,5.5,21.4,24,0,3,2,2014,10,276,Saturday
10/19/2014,3.33,3,2,13.9,9,0,6,1,2014,10,276,Sunday
10/20/2014,3.34,5.66,7.3,35.4,25,2,0,1,2014,10,276,Monday
10/21/2014,2.34,4.34,6.4,14.3,11,0,20,1,2014,10,276,Tuesday
10/22/2014,3.33,2,2.6,20.9,7,0,2,1,2014,10,276,Wednesday
10/23/2014,1.34,4.33,0,32.2,7,1,0,0,2014,10,276,Thursday
10/24/2014,3.67,2.67,6.3,49.4,18,0,5,1,2014,10,276,Friday
10/25/2014,2.33,5.14,1,31,21,0,2,5,2014,10,276,Saturday
10/26/2014,3.34,1,1.6,30.4,6,0,1,1,2014,10,276,Sunday
10/27/2014,8.34,4.55,4,25.3,17,1,3,0,2014,10,276,Monday
10/28/2014,4,3.48,10,40.4,23,0,0,2,2014,10,276,Tuesday
10/29/2014,5,1,6.6,41,20,2,27,1,2014,10,276,Wednesday
10/30/2014,0,1,5,20.3,11,1,2,0,2014,10,276,Thursday
10/31/2014,2,2.45,4,31,16,0,0,2,2014,10,276,Friday
11/1/2014,2.33,2.34,3.5,43.8,22,0,7,1,2014,11,276,Saturday
11/2/2014,4,0,1,2,3.5,0,0,1,2014,11,276,Sunday
11/3/2014,7,4.33,1,27.8,19,0,5,1,2014,11,276,Monday
11/4/2014,6.33,1,5.2,26.5,15,0,0,1,2014,11,276,Tuesday
11/5/2014,0,1.68,4,27,19,3,1,0,2014,11,276,Wednesday
11/6/2014,6,2.34,5.2,23.4,23,1,0,0,2014,11,276,Thursday
11/7/2014,6,10.34,5.5,15.8,32,1,0,1,2014,11,276,Friday
11/8/2014,12,7.02,6,34.4,24,0,17,2.2,2014,11,276,Saturday
11/9/2014,3.34,4.34,2.9,23,20,0,2,1,2014,11,276,Sunday
11/10/2014,1,5.32,3.3,24.3,13,0,7,1,2014,11,276,Monday
11/11/2014,8,4,2,23,18,0,8,2,2014,11,276,Tuesday
11/12/2014,3,5,4,25,16,0,3,0,2014,11,276,Wednesday
11/13/2014,8,2,5,33.2,10,0,0,2.2,2014,11,276,Thursday
11/14/2014,5.34,0,6,29.4,20,1,2,3,2014,11,276,Friday
11/15/2014,4.33,5.34,5,23.6,20,2,2,2,2014,11,276,Saturday
11/16/2014,2,2.68,6,18.6,13,1,0,0,2014,11,276,Sunday
11/17/2014,9,5.01,5.5,23,23,1,10,0.2,2014,11,276,Monday
11/18/2014,2.67,2,5,19.3,10.5,1,0,1,2014,11,276,Tuesday
11/19/2014,1.34,3.67,10,32,17,0,10,4,2014,11,276,Wednesday
11/20/2014,4,7,5,18.8,13,0,8,0,2014,11,276,Thursday
11/21/2014,1.34,1.34,3,22.4,16,0,2,1,2014,11,276,Friday
11/22/2014,6,2.34,3,23.7,15,1,8,1.4,2014,11,276,Saturday
11/23/2014,4,3.68,6,22.3,11,0,0,1.1,2014,11,276,Sunday
11/24/2014,4,3,6,30.6,19,1,1,2.1,2014,11,276,Monday
11/25/2014,5.36,1.68,2,19.2,18,0,2,3,2014,11,276,Tuesday
11/26/2014,3,5,6,21,13,3,11,2,2014,11,276,Wednesday
11/27/2014,7,3.67,2.3,21.2,9,1,4,3,2014,11,276,Thursday
11/28/2014,3.02,1.4,15,15.9,12,1,2,1,2014,11,276,Friday
11/29/2014,3,2.01,3.3,31,16,0,0,5,2014,11,276,Saturday
11/30/2014,5.68,1.33,5,22.6,9,1,0,2,2014,11,276,Sunday
12/1/2014,4.34,4.01,0,36.4,19,0,2,2,2014,12,276,Monday
12/2/2014,6.99,4.33,3.7,7.8,26,0,4,1,2014,12,276,Tuesday
12/3/2014,4,3.33,5,16.6,23,2,13,3.2,2014,12,276,Wednesday
12/4/2014,3,4.34,3.6,28.7,16,1,1,0,2014,12,276,Thursday
12/5/2014,2.02,5.68,1,28.1,15,1,1,2.2,2014,12,276,Friday
12/6/2014,3.34,3.68,1,12.4,9,0,7,1,2014,12,276,Saturday
12/7/2014,5,4.911,4,45.7,6,0,12,0,2014,12,276,Sunday
12/8/2014,1,3.33,2,20.3,9,0,0,0,2014,12,276,Monday
12/9/2014,1,2.34,7,27.28,12,1,0,2,2014,12,276,Tuesday
12/10/2014,3.34,3,2,51.2,28,3,6,0,2014,12,276,Wednesday
12/11/2014,2.34,5.33,7,16.3,21,2,0,0,2014,12,276,Thursday
12/12/2014,6.34,2.34,5.6,41.4,18,0,2,0,2014,12,276,Friday
12/13/2014,1,3.34,2.4,25.1,11,1,7,0,2014,12,276,Saturday
12/14/2014,10,2.34,4.4,40,10,0,6,1,2014,12,276,Sunday
12/15/2014,5.34,4.02,7.64,42.2,14,1,9,1,2014,12,276,Monday
12/16/2014,6.34,1.34,6.2,23,23,3,4,1,2014,12,276,Tuesday
